app_date,cred_score,device_cost,down_payment,payment_type,borrower_age,delinquency_90_days
2022-03-08,688,1157.59,179.66,Cash,19,90+ delinquent/default
2025-05-13,747,1122.27,56.82,Credit,60,Performing/paid off
2024-04-13,733,1066.05,197.39,Credit,40,Performing/paid off
2020-07-14,761,982.48,221.45,Credit,42,Performing/paid off
2024-01-01,690,923.64,281.75,Credit,32,Performing/paid off
2022-05-03,546,756.24,168.33,Credit,42,Performing/paid off
2024-04-11,609,976.63,154.95,Credit,40,Performing/paid off
2022-09-19,549,949.04,0.0,Cash,38,90+ delinquent/default
2023-07-23,629,1010.91,190.82,Cash,37,Performing/paid off
2022-12-28,596,1139.11,92.52,Cash,35,Performing/paid off
2022-11-13,684,956.03,61.57,Credit,29,Performing/paid off
2024-10-02,464,950.77,0.0,Credit,35,90+ delinquent/default
2024-12-16,646,839.29,368.05,Credit,52,Performing/paid off
2022-01-30,812,1038.89,307.61,Credit,42,Performing/paid off
2022-05-25,628,968.07,81.85,Cash,23,Performing/paid off
2020-12-04,762,802.23,86.48,Credit,36,Performing/paid off
2025-08-23,780,837.6,286.09,Credit,36,Performing/paid off
2021-07-31,772,693.82,24.8,Cash,36,Performing/paid off
2021-10-07,742,1100.04,175.77,Cash,32,90+ delinquent/default
2022-07-12,551,944.31,54.68,Credit,45,90+ delinquent/default
2023-02-11,614,791.95,251.13,Cash,24,90+ delinquent/default
2020-05-15,708,576.86,144.0,Bank transfer,29,Performing/paid off
2022-04-11,708,1100.77,89.43,Credit,35,Performing/paid off
2023-03-16,708,1066.62,192.38,Credit,33,Performing/paid off
2020-05-12,499,629.93,91.77,Credit,47,Performing/paid off
2024-11-22,524,873.88,51.53,Cash,36,Performing/paid off
2020-03-10,626,938.81,22.88,Credit,38,90+ delinquent/default
2023-10-05,768,1262.21,366.9,Credit,33,Performing/paid off
2023-01-02,675,757.11,17.9,Credit,43,Performing/paid off
2023-04-09,562,919.07,95.05,Cash,44,90+ delinquent/default
2020-12-21,725,797.52,258.91,Credit,36,Performing/paid off
2021-01-23,824,794.93,122.94,Credit,30,90+ delinquent/default
2022-11-02,726,1050.43,121.17,Credit,34,Performing/paid off
2021-01-25,554,921.2,0.0,Bank transfer,40,90+ delinquent/default
2025-02-09,584,1089.28,126.11,Credit,42,90+ delinquent/default
2023-06-21,685,890.32,197.23,Credit,53,Performing/paid off
2021-03-24,557,751.42,60.48,Credit,18,Performing/paid off
2021-04-24,652,825.91,179.88,Cash,34,Performing/paid off
2024-02-17,567,1145.84,62.75,Cash,30,Performing/paid off
2022-02-17,712,897.26,77.81,Credit,18,Performing/paid off
2023-06-08,523,968.79,0.0,Cash,22,90+ delinquent/default
2022-12-11,722,890.64,204.06,Cash,54,90+ delinquent/default
2025-04-22,795,1066.01,250.07,Cash,32,Performing/paid off
2021-03-24,671,930.18,113.81,Credit,33,Performing/paid off
2025-07-02,678,935.34,134.21,Cash,34,Performing/paid off
2022-03-07,637,1055.77,57.33,Cash,24,Performing/paid off
2020-07-04,751,899.28,114.41,Cash,41,Performing/paid off
2023-04-21,548,1026.6,59.24,Bank transfer,61,90+ delinquent/default
2023-06-21,732,1076.18,309.49,Credit,30,Performing/paid off
2025-05-17,668,886.14,85.27,Bank transfer,40,Performing/paid off
2021-03-24,809,978.73,277.97,Credit,27,Performing/paid off
2023-10-30,568,1174.06,97.86,Cash,28,90+ delinquent/default
2021-07-02,621,822.48,53.28,Credit,32,Performing/paid off
2022-02-22,662,915.8,238.27,Cash,29,Performing/paid off
2023-04-28,530,926.62,32.41,Cash,42,90+ delinquent/default
2025-01-01,655,1093.21,169.67,Credit,49,Performing/paid off
2020-10-28,627,935.61,173.51,Credit,18,Performing/paid off
2025-04-05,701,1023.12,46.67,Credit,21,Performing/paid off
2020-07-02,691,639.5,141.11,Credit,46,90+ delinquent/default
2023-02-14,728,956.0,202.66,Credit,31,Performing/paid off
2024-09-01,702,506.06,189.33,Cash,21,90+ delinquent/default
2020-06-26,717,867.43,126.95,Credit,30,90+ delinquent/default
2020-10-04,587,694.54,68.02,Cash,37,90+ delinquent/default
2023-03-04,683,1000.97,83.93,Credit,28,Performing/paid off
2024-12-09,846,1245.73,277.79,Cash,30,Performing/paid off
2020-07-20,761,936.55,224.04,Credit,41,Performing/paid off
2021-02-08,655,1198.68,145.01,Cash,37,Performing/paid off
2022-06-03,606,864.79,66.86,Cash,48,Performing/paid off
2024-02-04,732,1139.97,81.16,Credit,46,Performing/paid off
2024-02-17,797,1087.04,231.36,Credit,29,90+ delinquent/default
2022-07-16,587,1201.75,178.0,Credit,24,Performing/paid off
2022-01-25,721,993.69,102.73,Credit,21,Performing/paid off
2021-07-22,596,741.7,45.09,Cash,43,Performing/paid off
2025-03-21,721,886.95,137.86,Bank transfer,42,Performing/paid off
2022-03-26,752,746.84,150.89,Credit,27,Performing/paid off
2022-06-12,606,990.68,70.39,Credit,20,Performing/paid off
2021-05-30,599,952.39,96.27,Cash,30,Performing/paid off
2021-04-27,722,980.12,200.12,Credit,25,Performing/paid off
2020-10-26,609,903.41,5.21,Credit,40,Performing/paid off
2023-03-14,650,925.18,178.93,Credit,31,Performing/paid off
2025-01-08,661,993.21,49.8,Credit,39,Performing/paid off
2020-04-04,632,954.91,95.95,Credit,43,Performing/paid off
2023-04-08,615,1038.1,20.12,Credit,44,Performing/paid off
2020-01-31,798,1111.08,278.87,Credit,27,Performing/paid off
2024-11-30,671,929.22,151.5,Credit,37,Performing/paid off
2024-09-13,787,1067.8,244.16,Credit,36,Performing/paid off
2023-11-09,720,946.45,290.76,Cash,22,Performing/paid off
2022-07-18,701,804.13,118.87,Credit,34,Performing/paid off
2025-03-09,564,1122.56,98.52,Credit,36,Performing/paid off
2021-05-25,557,1033.78,63.42,Bank transfer,18,90+ delinquent/default
2020-05-10,656,876.01,68.57,Credit,40,90+ delinquent/default
2023-12-29,729,812.53,151.28,Credit,34,Performing/paid off
2021-07-21,697,688.55,174.73,Bank transfer,44,Performing/paid off
2021-08-25,774,687.49,202.42,Credit,45,Performing/paid off
2022-07-30,734,699.96,296.94,Credit,63,Performing/paid off
2024-03-16,681,991.7,208.3,Bank transfer,31,Performing/paid off
2024-06-20,625,1058.17,149.47,Credit,46,Performing/paid off
2021-07-02,812,1015.92,174.98,Credit,36,Performing/paid off
2021-11-01,483,829.19,0.0,Cash,42,Performing/paid off
2020-09-28,623,1085.83,91.62,Credit,20,Performing/paid off
2024-07-22,620,1206.5,67.54,Cash,34,90+ delinquent/default
2021-12-25,683,934.73,254.42,Credit,35,Performing/paid off
2021-02-26,648,858.12,139.64,Credit,30,90+ delinquent/default
2020-11-20,599,756.05,67.53,Cash,41,90+ delinquent/default
2022-05-30,662,925.22,209.84,Credit,40,90+ delinquent/default
2023-09-09,579,789.2,119.62,Cash,22,Performing/paid off
2024-10-09,652,1291.94,303.01,Credit,35,Performing/paid off
2025-08-12,517,1198.93,73.28,Cash,24,Performing/paid off
2023-12-18,695,1194.34,264.02,Cash,40,Performing/paid off
2025-08-02,722,1517.88,397.68,Credit,27,Performing/paid off
2022-08-25,760,858.7,116.95,Credit,53,Performing/paid off
2024-03-19,551,1138.18,60.49,Cash,44,Performing/paid off
2020-09-14,780,820.13,149.38,Credit,37,Performing/paid off
2020-10-31,759,883.09,248.71,Credit,30,Performing/paid off
2024-04-07,733,612.63,155.79,Credit,18,90+ delinquent/default
2020-05-02,650,789.21,194.36,Cash,41,90+ delinquent/default
2020-03-10,749,685.66,89.67,Credit,29,Performing/paid off
2022-10-13,624,826.02,72.33,Cash,41,Performing/paid off
2023-01-17,596,858.99,87.52,Cash,34,Performing/paid off
2021-01-09,755,811.21,193.39,Credit,44,Performing/paid off
2024-03-24,702,1036.83,220.72,Cash,22,Performing/paid off
2025-02-10,557,1368.94,5.69,Bank transfer,40,90+ delinquent/default
2023-06-12,770,829.98,176.71,Credit,22,Performing/paid off
2020-10-20,775,762.62,76.36,Bank transfer,46,Performing/paid off
2025-04-30,587,1184.15,81.07,Cash,32,Performing/paid off
2025-09-30,778,1030.68,124.92,Bank transfer,41,Performing/paid off
2025-01-08,656,1074.11,107.95,Credit,44,Performing/paid off
2021-12-14,715,513.35,0.0,Cash,20,90+ delinquent/default
2021-08-17,565,840.65,63.16,Credit,18,Performing/paid off
2024-12-13,659,1095.41,61.33,Cash,37,90+ delinquent/default
2025-02-21,849,1131.65,422.34,Cash,42,Performing/paid off
2022-08-30,688,826.81,248.69,Credit,36,Performing/paid off
2022-10-30,674,781.27,0.0,Credit,30,90+ delinquent/default
2021-05-03,656,1057.11,133.34,Cash,30,Performing/paid off
2021-09-15,657,1037.19,223.81,Cash,40,Performing/paid off
2025-06-01,720,1171.06,225.61,Cash,23,Performing/paid off
2021-04-17,693,865.37,80.14,Cash,26,Performing/paid off
2025-08-18,772,887.72,260.58,Credit,36,Performing/paid off
2023-06-26,517,877.27,118.65,Bank transfer,39,Performing/paid off
2025-08-12,722,948.16,216.37,Credit,22,Performing/paid off
2021-02-21,775,727.02,279.66,Cash,18,Performing/paid off
2021-04-05,666,798.03,80.36,Cash,31,90+ delinquent/default
2023-05-27,661,1313.98,152.54,Credit,23,Performing/paid off
2023-03-01,677,893.22,134.12,Credit,21,Performing/paid off
2022-03-13,721,714.84,125.69,Credit,19,Performing/paid off
2022-07-29,735,802.95,171.32,Credit,50,Performing/paid off
2023-01-23,660,810.96,202.47,Credit,44,Performing/paid off
2023-08-27,749,998.48,196.47,Bank transfer,26,Performing/paid off
2020-12-22,674,860.32,60.13,Credit,35,90+ delinquent/default
2025-03-04,717,1104.86,252.98,Credit,33,Performing/paid off
2024-02-29,632,1070.93,86.1,Credit,31,Performing/paid off
2021-05-25,549,759.24,21.29,Credit,36,90+ delinquent/default
2022-03-15,672,620.04,202.65,Cash,23,Performing/paid off
2022-09-16,547,1142.63,72.89,Credit,29,Performing/paid off
2024-12-03,578,1089.69,41.72,Cash,29,Performing/paid off
2021-05-31,656,747.43,160.04,Credit,39,Performing/paid off
2024-01-16,775,994.25,108.92,Cash,39,Performing/paid off
2020-04-22,616,990.1,177.16,Credit,45,Performing/paid off
2022-04-10,577,1051.19,0.0,Cash,38,Performing/paid off
2022-07-03,694,1095.91,77.69,Cash,18,Performing/paid off
2024-10-24,552,1103.29,10.31,Credit,36,Performing/paid off
2023-05-01,749,1021.33,231.96,Credit,48,Performing/paid off
2021-06-15,658,828.88,129.99,Credit,34,90+ delinquent/default
2023-03-13,614,846.9,35.45,Cash,30,Performing/paid off
2020-05-10,762,351.27,113.77,Credit,35,Performing/paid off
2022-03-03,715,788.34,6.1,Cash,46,90+ delinquent/default
2021-06-30,671,870.72,49.59,Cash,49,Performing/paid off
2024-03-06,782,874.41,70.0,Credit,46,Performing/paid off
2024-09-25,789,1076.87,197.62,Credit,25,Performing/paid off
2022-10-18,648,1039.56,119.66,Credit,45,Performing/paid off
2022-06-29,633,1081.24,201.05,Cash,37,Performing/paid off
2020-03-10,737,917.38,228.52,Credit,30,Performing/paid off
2024-07-30,627,999.42,116.33,Credit,25,Performing/paid off
2020-12-23,669,845.93,128.95,Credit,34,90+ delinquent/default
2020-03-24,752,805.62,142.01,Credit,26,Performing/paid off
2021-03-11,544,1023.4,91.44,Credit,40,90+ delinquent/default
2021-04-04,613,847.62,79.87,Cash,33,Performing/paid off
2025-06-15,542,835.1,0.0,Cash,41,Performing/paid off
2025-01-13,589,1227.87,147.68,Bank transfer,43,Performing/paid off
2020-04-20,675,967.68,102.2,Bank transfer,41,90+ delinquent/default
2022-08-17,577,977.53,134.6,Credit,31,Performing/paid off
2022-05-18,627,707.12,0.0,Credit,30,Performing/paid off
2022-04-21,654,980.33,225.77,Cash,35,Performing/paid off
2023-06-07,632,814.93,11.52,Cash,45,90+ delinquent/default
2024-03-27,690,1129.2,134.87,Credit,40,Performing/paid off
2020-01-09,554,709.72,160.12,Credit,38,Performing/paid off
2025-06-10,635,1112.94,158.22,Cash,27,90+ delinquent/default
2020-04-10,674,607.35,44.48,Bank transfer,37,Performing/paid off
2025-03-08,639,820.9,84.55,Credit,40,Performing/paid off
2020-08-25,635,837.99,0.0,Credit,23,Performing/paid off
2020-11-03,680,1020.83,184.86,Credit,20,Performing/paid off
2024-01-11,775,1000.9,247.36,Cash,34,Performing/paid off
2021-04-11,713,649.67,208.76,Cash,41,Performing/paid off
2021-10-16,694,599.98,0.0,Cash,36,90+ delinquent/default
2025-06-22,673,1033.1,269.19,Cash,30,Performing/paid off
2021-06-16,665,819.41,153.77,Credit,18,Performing/paid off
2020-12-12,694,589.16,40.02,Credit,40,Performing/paid off
2021-12-05,580,917.44,153.32,Cash,24,90+ delinquent/default
2020-03-08,819,806.47,163.79,Credit,34,Performing/paid off
2021-08-24,785,651.47,344.25,Credit,34,Performing/paid off
2021-12-18,657,930.08,217.47,Credit,46,Performing/paid off
2023-02-24,658,997.7,80.96,Cash,34,90+ delinquent/default
2020-05-20,778,1025.0,230.29,Cash,31,Performing/paid off
2024-01-07,633,875.26,234.71,Cash,53,Performing/paid off
2023-03-10,760,1167.75,204.38,Cash,27,Performing/paid off
2020-09-24,745,725.67,172.57,Credit,32,Performing/paid off
2020-06-30,615,619.91,71.12,Credit,38,90+ delinquent/default
2023-08-29,781,925.74,283.34,Credit,18,Performing/paid off
2024-06-14,756,1100.29,166.11,Credit,42,Performing/paid off
2024-02-08,633,1083.81,110.44,Cash,18,90+ delinquent/default
2023-01-02,687,1114.13,273.2,Bank transfer,33,Performing/paid off
2022-02-09,701,1018.94,241.91,Credit,32,90+ delinquent/default
2025-04-05,572,1014.46,74.85,Cash,46,Performing/paid off
2022-08-11,697,720.99,0.0,Credit,40,Performing/paid off
2024-10-13,756,1471.88,173.06,Bank transfer,31,Performing/paid off
2020-02-16,612,860.08,99.09,Credit,26,90+ delinquent/default
2023-06-05,684,1125.78,147.3,Credit,20,Performing/paid off
2020-02-28,669,786.54,189.9,Bank transfer,27,Performing/paid off
2024-07-10,785,988.56,161.34,Cash,40,Performing/paid off
2020-04-14,647,795.06,201.8,Cash,21,Performing/paid off
2022-07-22,664,884.57,81.84,Cash,45,Performing/paid off
2021-12-17,639,996.69,194.58,Credit,22,90+ delinquent/default
2020-08-04,651,692.29,128.76,Cash,35,90+ delinquent/default
2022-08-30,667,673.75,0.0,Cash,19,Performing/paid off
2024-04-23,668,1325.29,156.3,Credit,35,90+ delinquent/default
2022-02-10,594,922.69,0.0,Cash,36,Performing/paid off
2022-09-15,757,956.45,303.86,Credit,38,90+ delinquent/default
2021-04-25,781,862.83,203.28,Credit,21,90+ delinquent/default
2023-04-01,620,1017.24,78.46,Credit,31,Performing/paid off
2025-05-11,695,1249.91,224.67,Bank transfer,33,Performing/paid off
2022-03-20,632,909.78,119.91,Credit,36,Performing/paid off
2023-08-24,637,924.8,94.48,Credit,30,Performing/paid off
2022-06-22,684,829.46,159.06,Credit,38,Performing/paid off
2023-10-04,792,566.35,122.31,Cash,40,Performing/paid off
2022-12-18,684,1092.54,185.2,Cash,33,Performing/paid off
2023-05-12,675,805.2,233.33,Bank transfer,31,Performing/paid off
2021-06-29,669,1175.76,308.43,Cash,33,Performing/paid off
2022-10-22,618,1065.49,78.84,Bank transfer,34,Performing/paid off
2023-11-12,788,1247.06,259.86,Credit,28,Performing/paid off
2024-09-20,611,1114.39,99.03,Bank transfer,40,Performing/paid off
2021-03-11,652,880.1,80.56,Cash,19,Performing/paid off
2022-06-17,590,914.96,69.32,Credit,22,Performing/paid off
2020-11-26,661,849.47,170.77,Cash,32,90+ delinquent/default
2024-06-17,603,1278.64,70.78,Credit,35,Performing/paid off
2023-12-15,793,997.15,316.08,Credit,44,Performing/paid off
2024-03-07,642,1173.56,114.55,Credit,42,90+ delinquent/default
2022-10-23,789,901.1,79.49,Credit,32,Performing/paid off
2022-11-27,662,904.33,39.48,Credit,52,Performing/paid off
2021-02-23,637,1083.95,92.17,Credit,20,Performing/paid off
2025-07-15,753,951.16,274.85,Credit,27,Performing/paid off
2025-05-17,587,1082.21,105.4,Credit,31,90+ delinquent/default
2021-06-15,662,916.86,6.87,Credit,28,Performing/paid off
2020-01-07,623,464.7,127.22,Credit,40,Performing/paid off
2024-02-10,762,1109.04,209.53,Credit,34,Performing/paid off
2022-10-25,573,727.45,22.71,Cash,31,Performing/paid off
2020-08-27,628,837.04,132.5,Cash,35,90+ delinquent/default
2020-08-08,627,1011.14,219.67,Credit,21,90+ delinquent/default
2020-07-31,583,635.59,20.09,Credit,37,90+ delinquent/default
2021-08-23,786,877.49,294.11,Credit,35,Performing/paid off
2022-09-07,782,901.36,198.5,Credit,38,Performing/paid off
2024-06-25,669,1179.1,249.43,Bank transfer,36,Performing/paid off
2024-12-13,606,1113.93,159.06,Cash,33,90+ delinquent/default
2024-02-26,737,1006.73,35.55,Cash,41,Performing/paid off
2022-06-30,753,693.32,242.56,Bank transfer,29,Performing/paid off
2021-10-17,754,811.04,134.17,Credit,22,Performing/paid off
2021-11-23,710,959.91,311.17,Credit,28,Performing/paid off
2024-01-06,665,1094.39,107.36,Cash,32,90+ delinquent/default
2020-01-22,702,728.02,37.76,Credit,37,Performing/paid off
2025-05-12,653,978.93,165.01,Credit,29,Performing/paid off
2024-05-28,581,1150.63,95.06,Credit,31,90+ delinquent/default
2021-07-17,611,855.91,107.25,Credit,32,90+ delinquent/default
2021-08-05,792,994.41,201.33,Credit,34,Performing/paid off
2023-10-06,759,1039.78,271.77,Credit,30,Performing/paid off
2024-06-27,850,1030.47,390.73,Credit,42,Performing/paid off
2023-12-08,736,1070.54,269.82,Credit,40,90+ delinquent/default
2023-10-17,511,871.24,0.0,Credit,34,Performing/paid off
2022-10-26,754,1196.95,141.47,Cash,20,90+ delinquent/default
2025-05-03,663,1160.84,138.59,Credit,54,Performing/paid off
2020-02-15,760,581.32,120.91,Cash,34,Performing/paid off
2020-03-12,705,969.24,114.53,Cash,40,Performing/paid off
2024-12-31,714,1379.68,83.55,Credit,40,90+ delinquent/default
2022-03-17,668,1004.48,190.58,Cash,31,90+ delinquent/default
2022-05-12,758,886.36,174.25,Cash,27,Performing/paid off
2022-10-06,622,1003.41,112.67,Credit,25,Performing/paid off
2023-01-15,693,967.49,293.35,Credit,45,Performing/paid off
2023-03-12,727,957.44,228.52,Cash,40,Performing/paid off
2024-09-16,716,1015.68,141.34,Cash,33,Performing/paid off
2021-12-11,639,1128.54,93.77,Credit,40,Performing/paid off
2022-05-29,792,734.56,202.56,Bank transfer,28,Performing/paid off
2020-04-21,731,831.87,170.29,Credit,36,Performing/paid off
2021-04-18,625,729.16,188.08,Credit,39,Performing/paid off
2024-03-05,606,940.93,56.68,Bank transfer,36,Performing/paid off
2023-02-13,597,837.66,41.49,Credit,22,90+ delinquent/default
2020-09-27,679,801.03,190.87,Credit,31,Performing/paid off
2022-01-19,710,904.63,190.91,Credit,29,Performing/paid off
2020-10-01,671,1001.14,73.02,Cash,37,Performing/paid off
2020-04-18,579,453.72,0.0,Cash,19,Performing/paid off
2021-04-24,599,824.3,93.07,Cash,31,90+ delinquent/default
2020-05-25,850,932.14,190.19,Cash,50,Performing/paid off
2025-01-11,785,1131.88,240.17,Credit,33,90+ delinquent/default
2022-10-02,633,1088.59,263.57,Bank transfer,33,Performing/paid off
2020-12-22,642,877.32,124.43,Credit,34,90+ delinquent/default
2021-06-08,632,894.02,16.38,Credit,34,90+ delinquent/default
2024-08-30,688,1074.07,186.84,Credit,46,Performing/paid off
2021-03-04,717,827.4,66.97,Cash,18,Performing/paid off
2024-06-22,726,1189.45,196.86,Cash,35,90+ delinquent/default
2022-09-29,729,923.56,315.72,Credit,47,Performing/paid off
2022-03-01,659,701.26,106.24,Credit,32,Performing/paid off
2025-08-28,701,1348.09,126.72,Cash,51,Performing/paid off
2022-12-08,774,896.33,186.68,Credit,43,Performing/paid off
2025-09-29,771,1099.96,309.85,Credit,25,Performing/paid off
2024-06-23,700,1186.4,127.04,Credit,30,90+ delinquent/default
2025-04-07,642,935.06,38.09,Cash,25,Performing/paid off
2024-07-31,668,884.39,108.06,Cash,27,Performing/paid off
2024-12-29,743,923.14,92.15,Credit,35,Performing/paid off
2025-09-17,644,787.09,62.3,Cash,23,Performing/paid off
2022-12-10,772,915.31,172.49,Credit,30,90+ delinquent/default
2024-05-03,701,1140.43,195.56,Cash,30,Performing/paid off
2024-06-18,539,1196.87,39.47,Credit,19,Performing/paid off
2022-07-11,679,923.79,208.44,Bank transfer,36,Performing/paid off
2021-04-10,596,905.7,115.09,Cash,23,Performing/paid off
2022-03-26,539,989.5,39.89,Bank transfer,18,Performing/paid off
2022-03-24,591,979.75,94.19,Cash,26,Performing/paid off
2021-09-20,693,707.68,171.82,Cash,35,90+ delinquent/default
2023-06-12,685,897.05,149.13,Credit,20,Performing/paid off
2023-02-28,658,1065.71,158.19,Credit,34,Performing/paid off
2022-07-29,782,1078.01,192.63,Bank transfer,51,Performing/paid off
2025-09-18,675,1151.11,209.57,Credit,30,Performing/paid off
2024-03-15,741,1004.87,255.69,Credit,29,Performing/paid off
2024-05-14,653,1174.5,137.23,Credit,29,Performing/paid off
2024-11-08,702,1217.92,283.78,Cash,23,90+ delinquent/default
2024-12-29,672,922.98,294.34,Credit,35,Performing/paid off
2025-02-19,518,1009.27,55.72,Bank transfer,39,90+ delinquent/default
2021-06-26,709,554.82,175.28,Cash,41,90+ delinquent/default
2020-03-14,676,823.61,60.21,Credit,35,Performing/paid off
2024-05-24,714,1101.59,177.25,Cash,50,Performing/paid off
2020-03-27,543,633.75,15.42,Cash,38,90+ delinquent/default
2023-09-12,684,779.03,199.12,Cash,45,Performing/paid off
2025-04-08,762,1157.88,247.47,Credit,39,Performing/paid off
2023-05-04,698,846.6,29.82,Cash,27,90+ delinquent/default
2021-06-20,722,767.14,61.76,Bank transfer,54,Performing/paid off
2025-02-23,667,1131.05,173.77,Credit,46,Performing/paid off
2023-12-14,730,1007.24,175.43,Credit,38,Performing/paid off
2025-05-30,778,1422.35,269.96,Bank transfer,35,Performing/paid off
2020-01-29,647,695.69,96.8,Credit,26,Performing/paid off
2022-06-19,784,1199.52,372.1,Cash,24,90+ delinquent/default
2020-08-22,574,958.55,0.0,Cash,31,Performing/paid off
2024-11-18,707,1077.44,77.56,Credit,41,Performing/paid off
2020-12-15,673,1134.45,130.39,Credit,42,Performing/paid off
2020-03-14,834,460.23,20.91,Credit,40,Performing/paid off
2025-07-09,714,1246.61,213.52,Cash,29,Performing/paid off
2023-08-09,769,1001.6,168.1,Credit,21,90+ delinquent/default
2023-02-12,702,1004.76,221.26,Cash,29,90+ delinquent/default
2021-09-18,637,1006.73,241.98,Credit,39,Performing/paid off
2023-03-27,660,994.01,94.64,Credit,37,90+ delinquent/default
2021-05-05,542,929.43,183.26,Credit,28,Performing/paid off
2020-04-05,636,901.77,269.32,Cash,18,Performing/paid off
2023-03-31,739,971.06,320.81,Credit,50,Performing/paid off
2023-05-11,666,680.4,105.36,Cash,22,90+ delinquent/default
2021-02-19,710,1032.05,92.8,Credit,20,Performing/paid off
2020-08-05,688,594.56,232.6,Credit,28,Performing/paid off
2024-01-14,636,1215.67,226.86,Cash,30,Performing/paid off
2021-09-21,722,948.35,95.01,Credit,51,90+ delinquent/default
2025-09-30,688,932.87,160.48,Cash,35,Performing/paid off
2023-09-16,663,773.75,61.47,Cash,31,90+ delinquent/default
2022-01-01,657,1086.22,160.01,Bank transfer,24,Performing/paid off
2020-06-28,584,616.5,100.44,Cash,24,90+ delinquent/default
2020-05-18,650,726.63,159.0,Cash,37,90+ delinquent/default
2025-04-16,658,1077.0,220.1,Credit,39,Performing/paid off
2020-07-13,605,640.02,140.02,Cash,22,90+ delinquent/default
2022-12-26,600,973.01,51.73,Cash,21,90+ delinquent/default
2025-08-23,609,1214.52,28.68,Cash,43,Performing/paid off
2024-02-06,661,1108.26,244.3,Credit,38,90+ delinquent/default
2022-07-13,645,1071.5,123.25,Bank transfer,37,90+ delinquent/default
2025-08-07,615,1044.33,7.36,Cash,20,Performing/paid off
2020-10-05,767,796.02,211.71,Credit,32,Performing/paid off
2025-09-30,652,1084.82,27.84,Cash,34,Performing/paid off
2021-02-07,616,785.68,148.7,Cash,23,Performing/paid off
2025-01-02,576,1218.55,54.74,Cash,35,Performing/paid off
2025-04-09,689,1009.03,193.72,Credit,39,Performing/paid off
2023-08-19,665,1023.75,250.14,Credit,31,Performing/paid off
2024-06-30,677,821.58,138.42,Cash,31,Performing/paid off
2022-04-06,711,831.21,173.78,Credit,39,Performing/paid off
2023-08-15,781,1193.49,277.22,Credit,23,Performing/paid off
2021-07-20,603,814.15,43.79,Credit,30,Performing/paid off
2020-05-04,756,682.3,83.89,Credit,27,Performing/paid off
2025-03-30,621,700.4,0.0,Credit,18,Performing/paid off
2024-01-31,749,1123.91,135.43,Credit,26,Performing/paid off
2021-04-23,649,963.08,76.51,Credit,43,90+ delinquent/default
2020-03-09,811,825.47,109.16,Credit,38,Performing/paid off
2023-10-08,638,1171.06,189.76,Credit,37,Performing/paid off
2023-02-22,736,1026.33,224.39,Cash,47,Performing/paid off
2024-05-25,571,1093.04,0.0,Credit,26,Performing/paid off
2024-04-07,647,1025.17,90.46,Cash,29,Performing/paid off
2023-05-02,606,922.29,22.89,Credit,18,Performing/paid off
2024-01-23,540,877.12,103.91,Credit,32,Performing/paid off
2025-05-26,613,1195.36,89.04,Credit,25,Performing/paid off
2024-09-06,598,1162.31,78.17,Cash,40,Performing/paid off
2023-04-23,719,929.05,137.25,Cash,43,90+ delinquent/default
2020-09-26,715,924.86,177.48,Credit,43,Performing/paid off
2022-11-20,682,921.34,177.03,Credit,26,Performing/paid off
2020-07-23,599,948.56,119.92,Credit,35,Performing/paid off
2025-07-26,732,1004.21,274.8,Credit,44,Performing/paid off
2024-03-26,565,941.05,162.91,Credit,40,Performing/paid off
2020-09-24,657,1006.86,234.23,Cash,31,Performing/paid off
2024-10-14,659,1022.52,87.7,Bank transfer,27,Performing/paid off
2025-05-08,671,794.12,108.63,Credit,27,Performing/paid off
2020-11-26,623,961.42,102.13,Credit,31,Performing/paid off
2022-08-18,841,857.6,317.18,Credit,18,Performing/paid off
2021-02-03,611,600.87,13.66,Credit,18,Performing/paid off
2020-11-17,662,848.35,72.85,Cash,38,Performing/paid off
2025-08-20,776,1190.47,313.5,Bank transfer,36,Performing/paid off
2020-10-13,603,714.54,26.66,Credit,26,90+ delinquent/default
2022-05-19,670,1050.28,347.56,Credit,18,Performing/paid off
2024-04-28,680,1175.97,173.95,Cash,29,Performing/paid off
2023-11-11,820,919.47,191.5,Credit,39,Performing/paid off
2023-05-12,784,934.97,297.21,Credit,39,Performing/paid off
2021-12-02,850,848.62,263.05,Credit,30,Performing/paid off
2020-09-14,736,568.86,126.55,Credit,34,Performing/paid off
2020-11-01,767,829.49,228.17,Credit,40,Performing/paid off
2021-10-13,708,773.65,258.0,Bank transfer,40,90+ delinquent/default
2025-07-17,625,1273.38,64.62,Credit,43,Performing/paid off
2025-07-03,757,1195.41,353.21,Cash,43,Performing/paid off
2021-09-11,697,1019.82,128.68,Cash,35,Performing/paid off
2022-12-19,654,956.47,182.84,Bank transfer,18,90+ delinquent/default
2023-10-30,800,1186.46,270.84,Credit,31,90+ delinquent/default
2021-09-21,633,753.08,57.84,Cash,27,Performing/paid off
2023-02-17,589,1287.22,39.25,Cash,31,90+ delinquent/default
2025-01-04,666,1118.31,92.9,Credit,37,90+ delinquent/default
2020-01-11,692,672.14,178.54,Credit,57,Performing/paid off
2024-01-06,648,744.23,132.84,Cash,18,Performing/paid off
2023-06-19,596,679.6,35.98,Credit,28,Performing/paid off
2023-02-03,686,1066.7,98.14,Credit,27,Performing/paid off
2023-09-16,657,1170.01,128.75,Cash,45,Performing/paid off
